,question,answer,multiple_answer,can_answer
46,The language of A Day in the Life is?,English,False,True
47,The language of A Farewell to Arms is?,English,False,True
48,The language of A Love Supreme is?,English,False,False
49,The language of A Message to Garcia is?,English,False,True
50,The language of A Midsummer Night's Dream is?,English,False,True
51,The language of A Moveable Feast is?,English,False,True
52,The language of A Portrait of the Artist as a Young Man is?,English,False,True
53,The language of A Prayer for Owen Meany is?,English,False,True
54,The language of A Raisin in the Sun is?,English,False,True
55,The language of A Series of Unfortunate Events is?,English,False,True
56,The language of A Study in Scarlet is?,English,False,True
57,The language of A Study of History is?,English,False,True
58,The original country of A Sunday Afternoon on the Island of La Grande Jatte is?,France,False,True
59,The language of A Tale of Two Cities is?,English,False,True
60,The language of A Vindication of the Rights of Woman is?,English,False,True
61,The language of A Wrinkle in Time is?,English,False,True
62,The country of A-League is?,Australia,False,True
63,A. A. Ames convicted of?,bribery,False,False
64,The military rank of A. A. Milne is?,captain,False,False
65,The sport played by A. C. Green is?,basketball,False,True
66,The country of citizenship of A. D. Hope is?,Australia,False,True
67,The sport played by A. J. Burnett is?,baseball,False,True
68,The sport played by A. J. Pollock is?,baseball,False,True
69,The sport played by A. J. Ramos is?,baseball,False,True
70,The country of citizenship of A. Maria Irudayam is?,India,False,True
71,The country of citizenship of A. P. J. Abdul Kalam is?,India,False,True
72,The country of citizenship of A. R. Rahman is?,India,False,True
73,The instrument of A. R. Rahman is?,"['guitar', 'piano']",True,
74,The religion of A. R. Rahman is?,Islam,False,False
75,The eye color of A.J. Applegate is?,blue,False,False
76,The country of citizenship of A.K. Fazlul Huq is?,Pakistan,False,False
77,The religion of A.K. Fazlul Huq is?,Islam,False,True
78,The country of AC/DC is?,Australia,False,True
79,The original country of AC/DC is?,Australia,False,True
80,The record label of AC/DC is?,EMI,False,False
81,The country of AFC Ajax is?,Netherlands,False,True
82,The headquarters location of AFC Ajax is?,Amsterdam,False,True
83,The instrument of AJ Michalka is?,guitar,False,False
84,The native language of AJ Michalka is?,English,False,True
85,The religion of AJ Michalka is?,Christianity,False,True
86,The original country of AKB48 is?,Japan,False,True
87,The language of ASCII is?,English,False,False
88,The headquarters location of ASEAN is?,Jakarta,False,True
89,The official language of ASEAN is?,"['Chinese', 'Malay', 'Indonesian', 'Vietnamese', 'English']",True,
90,ASEAN shares a border with?,India,False,False
91,The sport played by ATP Tour is?,tennis,False,True
92,The country of Aachen is?,Germany,False,True
93,The country of citizenship of Aage Niels Bohr is?,Denmark,False,True
94,The original country of Aahat is?,India,False,True
95,The language of Aahat is?,Hindi,False,True
96,The country of Aalborg is?,Denmark,False,True
97,The country of citizenship of Aamir Khan is?,India,False,True
98,The religion of Aamir Khan is?,Islam,False,True
99,The country of citizenship of Aarathi is?,India,False,True
100,Aargau is located in?,Switzerland,False,True
101,The official language of Aargau is?,German,False,True
102,The country of Aarhus is?,Denmark,False,True
103,The native language of Aaron Burr is?,English,False,True
104,The genre of Aaron Copland is?,opera,False,False
105,The instrument of Aaron Copland is?,piano,False,False
106,The eye color of Aaron O'Connell is?,brown,False,False
107,The team position of Aaron Sanchez is?,pitcher,False,True
108,The sport played by Aaron Sanchez is?,baseball,False,True
109,The team position of Aaron Sele is?,pitcher,False,True
110,The native language of Aaron Swartz is?,English,False,True
111,The country of citizenship of Aarthi Aggarwal is?,India,False,True
112,The religion of Aarti Mann is?,Hinduism,False,False
113,The religion of Aasif Mandvi is?,Islam,False,False
114,The country of citizenship of Abanindranath Tagore is?,India,False,True
115,The native language of Abanindranath Tagore is?,Bengali,False,True
116,The country of citizenship of Abbas Kiarostami is?,Iran,False,True
117,"The languages spoken, written or signed by Abbas Kiarostami is?",Persian,False,True
118,The capital of Abbasid Caliphate is?,"['Damascus', 'Baghdad']",True,
119,The language used in Abbasid Caliphate is?,"['Persian', 'Arabic']",True,
120,The official language of Abbasid Caliphate is?,Arabic,False,True
121,The official religion of Abbasid Caliphate is?,Islam,False,True
122,The religion of Abbasid Caliphate is?,Islam,False,True
123,The language of Abbey Road is?,English,False,True
124,The team position of Abby Wambach is?,forward,False,True
125,The country of citizenship of Abd El-Fattah El-Sisi is?,Egypt,False,True
126,The country of citizenship of Abd El-Razzak El-Sanhuri is?,Egypt,False,True
127,The religion of Abd El-Razzak El-Sanhuri is?,Islam,False,False
128,The religion of Abd al-Malik ibn Marwan is?,Islam,False,True
129,The religion of Abd al-Mu'min is?,Islam,False,True
130,The religion of Abd al-Rahman al-Sufi is?,Islam,False,True
131,The religion of Abd-ar-Rahman III is?,Islam,False,True
132,The sport played by Abdalá Bucaram is?,athletics,False,False
133,The country of citizenship of Abdelaziz Bouteflika is?,Algeria,False,True
134,The country of citizenship of Abdelkader El Djezairi is?,Algeria,False,True
135,The religion of Abdelkader El Djezairi is?,Islam,False,True
136,The country of citizenship of Abdellatief Abouheif is?,Egypt,False,False
137,The country of citizenship of Abdou Diouf is?,Senegal,False,True
138,The country of citizenship of Abdrabbuh Mansour Hadi is?,Yemen,False,True
139,"The languages spoken, written or signed by Abdrabbuh Mansour Hadi is?",Arabic,False,True
140,The country of citizenship of Abdul Halim of Kedah is?,Malaysia,False,True
141,The place of birth of Abdul Hamid II is?,Istanbul,False,True
142,The religion of Abdul Hamid II is?,Islam,False,True
143,The country of citizenship of Abdul Hamid Khan Bhashani is?,"['Pakistan', 'Bangladesh']",True,
144,The native language of Abdul Hamid Khan Bhashani is?,Bengali,False,True
145,The religion of Abdul Hamid Khan Bhashani is?,Islam,False,True
146,The religion of Abdul Rahim Khan-I-Khana is?,Islam,False,True
147,The religion of Abdul Rahman Al Ghafiqi is?,Islam,False,True
148,The native language of Abdulaziz I is?,Arabic,False,True
149,The religion of Abdulaziz I is?,Islam,False,True
150,The country of citizenship of Abdullah Gül is?,Turkey,False,True
151,The religion of Abdullah I of Jordan is?,Islam,False,True
152,"The languages spoken, written or signed by Abdullah II of Jordan is?",Arabic,False,True
153,The religion of Abdullah II of Jordan is?,Islam,False,True
154,The country of citizenship of Abdullah III Al-Salim Al-Sabah is?,Kuwait,False,True
155,The genre of Abdullah Ibrahim is?,jazz,False,True
156,The religion of Abdullah Ibrahim is?,Islam,False,True
157,The country of citizenship of Abdullah al-Mahdi Billah is?,Syria,False,False
158,The religion of Abdullah al-Mahdi Billah is?,Islam,False,True
159,The religion of Abdullah as-Sallal is?,Islam,False,True
160,The country of citizenship of Abdulsalami Abubakar is?,Nigeria,False,True
161,The religion of Abdulsalami Abubakar is?,Islam,False,True
162,The religion of Abdus Salam is?,Islam,False,False
163,The religion of Abdülmecid I is?,Islam,False,True
164,The sport played by Abe Saperstein is?,basketball,False,True
165,The competition class of Abe Simon is?,heavyweight,False,False
166,The country of citizenship of Abebe Bikila is?,Ethiopia,False,True
167,The religion of Abedi Pele is?,Islam,False,False
168,The country of citizenship of Abel Gance is?,France,False,True
169,The native language of Abel Gance is?,French,False,True
170,The country of Abeokuta is?,Nigeria,False,True
171,Aberdeen is located in?,Scotland,False,True
172,The country of Abia State is?,Nigeria,False,True
173,The continent of Abidjan is?,Africa,False,False
174,The eye color of Abigail Clayton is?,brown,False,False
175,The official language of Abkhazia is?,"['Georgian', 'Russian']",True,
176,The sport played by Abner Doubleday is?,baseball,False,True
177,The instrument of Abra Moore is?,"['piano', 'guitar']",True,
178,The genre of Abraham Cowley is?,poetry,False,True
179,The country of citizenship of Abraham Gottlob Werner is?,Germany,False,True
180,The native language of Abraham Lincoln is?,English,False,True
181,The country of citizenship of Abraham de Moivre is?,France,False,True
182,The country of Abruzzo is?,Italy,False,True
183,Abruzzo is located in?,Italy,False,True
184,Abruzzo shares a border with?,Marche,False,False
185,The language of Absolutely Fabulous is?,English,False,True
186,The language of Absolutely Fabulous is?,English,False,True
187,The ethnic group of Abu Bakr is?,Arabs,False,False
188,Abu Bakr given name?,Abdullah,False,True
189,The religion of Abu Bakr is?,Islam,False,True
190,The country of citizenship of Abu Bakr al-Baghdadi is?,Iraq,False,True
191,The native language of Abu Bakr al-Baghdadi is?,Arabic,False,True
192,The religion of Abu Bakr al-Baghdadi is?,Islam,False,True
193,The religion of Abu Bakr ibn Umar is?,Islam,False,True
194,The country of citizenship of Abu Musab al-Zarqawi is?,Jordan,False,True
195,The religion of Abu Muslim is?,Islam,False,True
196,The genre of Abu Nuwas is?,poetry,False,True
197,The religion of Abu Nuwas is?,Islam,False,True
198,The religion of Abu al-Hariri is?,Islam,False,True
199,"The languages spoken, written or signed by Abu al-Qasim al-Zahrawi is?",Arabic,False,True
200,The religion of Abu-l-'Atahiya is?,Islam,False,True
201,The country of citizenship of Abubakar Tafawa Balewa is?,Nigeria,False,True
202,The religion of Abubakar Tafawa Balewa is?,Islam,False,True
203,Abuja is capital of?,Nigeria,False,True
204,The country of citizenship of Abulhassan Banisadr is?,Iran,False,True
205,The country of citizenship of Abū Ḥanīfa Dīnawarī is?,Iran,False,False
206,The religion of Abū Ḥanīfa Dīnawarī is?,Islam,False,True
207,The country of Académie Française is?,France,False,True
208,The headquarters location of Académie Française is?,Paris,False,True
209,The language of Académie Française is?,French,False,True
210,"The languages spoken, written or signed by Académie Française is?",French,False,True
211,The official language of Académie Française is?,French,False,True
212,The country of Acapulco is?,Mexico,False,True
213,Acapulco is located in?,Guerrero,False,False
214,The official language of Acapulco is?,Spanish,False,True
215,Accra is capital of?,Ghana,False,True
216,The country of Accra is?,Ghana,False,True
217,The official language of Accra is?,English,False,True
218,The country of Aceh is?,Indonesia,False,True
219,The office held by head of government of Aceh is?,governor,False,True
220,The official language of Aceh is?,Indonesian,False,True
221,The religion of Aceh is?,"['Buddhism', 'Hinduism']",True,
222,The country of Aceh Sultanate is?,Indonesia,False,True
223,The official language of Aceh Sultanate is?,"['Malay', 'Arabic']",True,
224,The capital of Achaemenid Empire is?,Babylon,False,False
225,Achillea named after?,Achilles,False,True
226,The country of Achinsk is?,Russia,False,True
227,The country of Acropolis of Athens is?,Greece,False,True
228,The language of Action Comics is?,English,False,True
229,The instrument of Ad-Rock is?,guitar,False,True
230,The team position of Ada Hegerberg is?,forward,False,False
231,The basic form of government of Adal Sultanate is?,monarchy,False,True
232,The religion of Adam Brody is?,Judaism,False,True
233,The native language of Adam Driver is?,English,False,True
234,The country of citizenship of Adam Gilchrist is?,Australia,False,True
235,The country of citizenship of Adam Goodes is?,Australia,False,True
236,The religion of Adam Hicks is?,Christianity,False,False
237,The native language of Adam Johann von Krusenstern is?,German,False,True
238,The instrument of Adam Levine is?,"['piano', 'guitar']",True,
239,The country of citizenship of Adam Mickiewicz is?,Poland,False,True
240,The religion of Adam Sandler is?,Judaism,False,True
241,The native language of Adam Silver is?,English,False,True
242,The religion of Adama Barrow is?,Islam,False,True
243,The country of Adamawa State is?,Nigeria,False,True
244,Adamawa State is located in?,Nigeria,False,True
245,The country of Adana is?,Turkey,False,True
246,The official language of Adana is?,Turkish,False,True
247,The country of Adapazarı is?,Turkey,False,True
248,Addis Ababa is capital of?,Ethiopia,False,True
249,The country of Addis Ababa is?,Ethiopia,False,True
250,Addis Ababa is located in?,Ethiopia,False,True
251,The country of Addu Atoll is?,Maldives,False,True
252,Addu Atoll is located in?,Maldives,False,True
253,The country of Adelaide is?,Australia,False,False
254,The continent of Adelaide Island is?,Antarctica,False,False
255,The eye color of Adele is?,green,False,False
256,The instrument of Adele is?,"['piano', 'guitar']",True,
257,The native language of Adele is?,English,False,True
258,The genre of Adelina Patti is?,opera,False,True
259,The country of citizenship of Adelle Lutz is?,Germany,False,False
260,Aden is capital of?,Yemen,False,True
261,The country of Aden is?,Yemen,False,True
262,The country of citizenship of Aditya Chopra is?,India,False,True
263,The country of Adivasi is?,India,False,True
264,Adnan Menderes convicted of?,treason,False,True
265,The country of citizenship of Adnan Menderes is?,Turkey,False,True
266,The operating system of Adobe Flash is?,Linux,False,False
267,The country of citizenship of Adolf Dassler is?,Germany,False,True
268,The country of citizenship of Adolf Eichmann is?,Austria,False,False
269,The country of citizenship of Adolf Erik Nordenskiöld is?,Sweden,False,False
270,The native language of Adolf Erik Nordenskiöld is?,Swedish,False,True
271,The country of citizenship of Adolf Galland is?,Germany,False,True
272,The eye color of Adolf Hitler is?,blue,False,True
273,The native language of Adolf Hitler is?,German,False,True
274,The country of citizenship of Adolf Loos is?,Austria,False,True
275,The country of citizenship of Adolf Wölfli is?,Switzerland,False,True
276,The country of citizenship of Adolf Ziegler is?,Germany,False,True
277,The country of citizenship of Adolfo Cambiaso is?,Argentina,False,True
278,The country of citizenship of Adolfo Pérez Esquivel is?,Argentina,False,True
279,The country of citizenship of Adolfo Suárez is?,Spain,False,True
280,The religion of Adolfo Suárez is?,Catholicism,False,False
281,The country of citizenship of Adolphe is?,Luxembourg,False,False
282,The country of citizenship of Adolphe Pégoud is?,France,False,True
283,The country of citizenship of Adolphe Sax is?,Belgium,False,True
284,The instrument of Adolphe Sax is?,saxophone,False,True
285,The country of citizenship of Adolphe Thiers is?,France,False,True
286,The native language of Adolphe Thiers is?,French,False,True
287,The country of citizenship of Adrian Frutiger is?,Switzerland,False,True
288,The instrument of Adrian Grenier is?,piano,False,False
289,The country of citizenship of Adriana Lima is?,Brazil,False,True
290,The eye color of Adriana Lima is?,"['blue', 'green']",True,
291,The instrument of Adrianne León is?,guitar,False,True
292,The basin country of Adriatic Sea is?,"['Albania', 'Croatia', 'Slovenia', 'Italy', 'Montenegro']",True,
293,Adriatic Sea shares a border with?,Italy,False,True
294,The country of citizenship of Adrien-Marie Legendre is?,France,False,True
295,The eye color of Adrienne Barbeau is?,brown,False,False
296,The country of citizenship of Adrienne Ellis is?,Canada,False,False
297,The country of citizenship of Adrián González is?,Mexico,False,True
298,Adult movie theater is facet of?,pornography,False,False
299,The language of Adventure Time is?,English,False,True
300,The language of Adventure Time is?,English,False,True
301,The language of Adventures of Huckleberry Finn is?,English,False,True
302,The continent of Adélie Land is?,Antarctica,False,False
303,The basin country of Aegean Sea is?,"['Turkey', 'Greece']",True,
304,The country of Aegean Sea is?,"['Turkey', 'Greece']",True,
305,The language of Aeneid is?,Latin,False,True
306,Aepyornithidae endemic to?,Madagascar,False,True
307,The country of Aeroflot is?,Russia,False,True
308,The headquarters location of Aeroflot is?,Moscow,False,True
309,The language used in Afar is?,Somali,False,False
310,The country of Afghan Civil War is?,Afghanistan,False,True
311,The basic form of government of Afghanistan is?,republic,False,True
312,The capital of Afghanistan is?,Kabul,False,True
313,The emergency phone number of Afghanistan is?,112,False,True
314,The religion of Afghanistan is?,Islam,False,True
315,Afghanistan shares a border with?,"['Iran', 'Pakistan', 'Tajikistan']",True,
316,The noble title of Afonso I of Kongo is?,King,False,False
317,The religion of Afonso I of Portugal is?,Christianity,False,False
318,The religion of Afonso III of Portugal is?,Christianity,False,False
319,Africa shares a border with?,Asia,False,False
320,The religion of African Americans is?,Islam,False,True
321,The country of African Movie Academy Award is?,Nigeria,False,True
322,The record label of Afrika Bambaataa is?,EMI,False,False
323,Afro-Asiatic languages named after?,Africa,False,True
324,The basic form of government of Ag Qoyunlu Tribe is?,monarchy,False,False
325,The language used in Ag Qoyunlu Tribe is?,Persian,False,True
326,The official language of Ag Qoyunlu Tribe is?,Persian,False,False
327,The country of Agadir is?,Morocco,False,True
328,The country of Agartala is?,India,False,True
329,The headquarters location of Agence France-Presse is?,Paris,False,True
330,The continent of Aghlabids is?,Africa,False,False
331,The country of citizenship of Agnolo Bronzino is?,Italy,False,True
332,The country of citizenship of Agnès Sorel is?,France,False,True
333,The country of citizenship of Agostinho Neto is?,"['Portugal', 'Angola']",True,
334,Agostinho Neto given name?,Antonio,False,False
335,The native language of Agostinho Neto is?,Portuguese,False,True
336,The religion of Agostinho Neto is?,Catholicism,False,False
337,The continent of Agra is?,Asia,False,False
338,The country of Agra is?,India,False,True
339,The country of citizenship of Agrippa d'Aubigné is?,France,False,True
340,The country of Aguascalientes is?,Mexico,False,True
341,The country of Aguascalientes City is?,Mexico,False,True
342,The official language of Aguascalientes City is?,Spanish,False,True
343,"The original country of Aguirre, the Wrath of God is?",Mexico,False,False
344,"The language of Aguirre, the Wrath of God is?","['French', 'English', 'Spanish']",True,
345,The country of citizenship of Agustín Pedro Justo is?,Argentina,False,True
346,The country of citizenship of Agustín de Iturbide is?,Mexico,False,True
347,The noble title of Ahilyabai Holkar is?,Raja,False,False
348,The religion of Ahilyabai Holkar is?,Hinduism,False,True
349,The country of citizenship of Ahmad Al-Jaber Al-Sabah is?,Kuwait,False,True
350,The religion of Ahmad Rashad is?,Islam,False,False
351,The country of citizenship of Ahmad Shah of Pahang is?,Malaysia,False,True
352,The noble title of Ahmad Shah of Pahang is?,sultan,False,True
353,The religion of Ahmad Shah of Pahang is?,Islam,False,True
354,The noble title of Ahmad Tajuddin of Brunei is?,sultan,False,True
355,The religion of Ahmad Tajuddin of Brunei is?,Islam,False,True
356,The country of citizenship of Ahmad Zahir is?,Afghanistan,False,True
357,The instrument of Ahmad Zahir is?,guitar,False,False
358,The country of citizenship of Ahmad bin Ali Al Thani is?,Qatar,False,True
359,The ethnic group of Ahmad bin Yahya is?,Arabs,False,False
360,The religion of Ahmad bin Yahya is?,Islam,False,False
361,The religion of Ahmad ibn Fadlan is?,Islam,False,True
362,The noble title of Ahmad ibn Ibrihim al-Ghazi is?,sultan,False,False
363,The religion of Ahmad ibn Ibrihim al-Ghazi is?,Islam,False,True
364,The country of citizenship of Ahmad ibn Tulun is?,Egypt,False,True
365,The religion of Ahmad ibn Tulun is?,Islam,False,True
366,The religion of Ahmadou Ahidjo is?,Islam,False,False
367,The religion of Ahman Green is?,Islam,False,False
368,The native language of Ahmed Abdallah is?,French,False,False
369,The country of citizenship of Ahmed Fouad Negm is?,Egypt,False,True
370,"The languages spoken, written or signed by Ahmed Fouad Negm is?",Arabic,False,True
371,Ahmed Hassan al-Bakr given name?,Ahmad,False,False
372,"The languages spoken, written or signed by Ahmed Hassan al-Bakr is?",Arabic,False,True
373,The religion of Ahmed III is?,Islam,False,True
374,The country of citizenship of Ahmed Rushdi is?,Pakistan,False,True
375,The religion of Ahmed Shahe Durrani is?,Islam,False,True
376,The country of citizenship of Ahmed Sékou Touré is?,"['France', 'Guinea']",True,
377,The native language of Ahmed Sékou Touré is?,French,False,True
378,The religion of Ahmed Sékou Touré is?,Islam,False,True
379,The religion of Ahmed Tejan Kabbah is?,Islam,False,True
380,The country of citizenship of Ahmed ‘Urabi is?,Egypt,False,True
381,Ahmed ‘Urabi given name?,Ahmad,False,True
382,The military rank of Ahmed ‘Urabi is?,colonel,False,True
383,The religion of Ahmed ‘Urabi is?,Islam,False,True
384,The continent of Ahmedabad is?,Asia,False,False
385,The country of Ahmedabad is?,India,False,True
386,Ahmedabad is located in?,Gujarat,False,True
387,The country of Ahmednagar is?,India,False,True
388,The country of citizenship of Ahmet Ertegün is?,Turkey,False,True
389,The genre of Ahmet Ertegün is?,jazz,False,True
390,The religion of Ahmet Ertegün is?,Islam,False,True
391,The country of citizenship of Ahmet Necdet Sezer is?,Turkey,False,True
392,The noble title of Ahmose I is?,pharaoh,False,True
393,The continent of Ahom kingdom is?,Asia,False,True
394,The religion of Ahom kingdom is?,Hinduism,False,True
395,The country of Ahvaz is?,Iran,False,True
396,The country of citizenship of Ai Iijima is?,Japan,False,True
397,The capital of Aichi Prefecture is?,Nagoya,False,True
398,The country of Aichi Prefecture is?,Japan,False,True
399,Aichi Prefecture is located in?,Japan,False,True
400,The eye color of Aida Turturro is?,brown,False,True
401,The religion of Aileen Quinn is?,Catholicism,False,False
402,Aileen Wuornos convicted of?,"['robbery', 'murder']",True,
403,The religion of Aileen Wuornos is?,Christianity,False,False
404,The country of citizenship of Aimé Césaire is?,France,False,False
405,The native language of Aimé Césaire is?,French,False,True
406,The headquarters location of Air Canada is?,Montreal,False,True
407,The headquarters location of Air China is?,Beijing,False,True
408,The country of AirAsia is?,Malaysia,False,False
409,The main subject of Airplane! is?,aviation,False,False
410,The language of Airplane! is?,English,False,True
411,The eye color of Aisha Tyler is?,brown,False,True
412,The country of citizenship of Aishwarya Rai is?,India,False,True
413,The religion of Aishwarya Rai is?,Hinduism,False,True
414,The country of Aix-Marseille University is?,France,False,True
415,The country of Aix-en-Provence is?,France,False,True
416,Ajaccio is capital of?,Corsica,False,True
417,The country of Ajaccio is?,France,False,True
418,The country of citizenship of Ajay Devgn is?,India,False,True
419,The religion of Ajay Devgn is?,Hinduism,False,True
420,The country of Ak Bars Kazan is?,Russia,False,True
421,Akan is indigenous to?,Ghana,False,True
422,The country of Akashi Kaikyō Bridge is?,Japan,False,True
423,The material used in Akashi Kaikyō Bridge is?,steel,False,True
424,The country of citizenship of Akashi Motojiro is?,Japan,False,True
425,The noble title of Akashi Motojiro is?,baron,False,False
426,The religion of Akbar is?,Islam,False,True
427,The country of citizenship of Akbar Hashemi Rafsanjani is?,Iran,False,True
428,"The languages spoken, written or signed by Akbar Hashemi Rafsanjani is?",Persian,False,True
429,The religion of Akbar Hashemi Rafsanjani is?,Islam,False,True
430,The noble title of Akhenaten is?,pharaoh,False,True
431,The country of citizenship of Akhmad Kadyrov is?,Russia,False,True
432,The religion of Akhmad Kadyrov is?,Islam,False,True
433,The country of citizenship of Akhtar Mansour is?,Afghanistan,False,True
434,The country of citizenship of Aki Kaurismäki is?,Finland,False,True
435,The country of citizenship of Akihito is?,Japan,False,True
436,The country of citizenship of Akiko Yosano is?,Japan,False,True
437,The native language of Akiko Yosano is?,Japanese,False,True
438,The country of citizenship of Akio Morita is?,Japan,False,True
439,The country of citizenship of Akira Kamiya is?,Japan,False,True
440,The country of citizenship of Akira Kurosawa is?,Japan,False,True
441,The native language of Akira Kurosawa is?,Japanese,False,True
442,The country of citizenship of Akira Mutō is?,Japan,False,True
443,The country of citizenship of Akira Toriyama is?,Japan,False,True
444,The country of citizenship of Akira Yoshizawa is?,Japan,False,True
445,The country of Akita Prefecture is?,Japan,False,True
446,The continent of Akkadian empire is?,Asia,False,False
447,The religion of Akon is?,Islam,False,False
448,The country of citizenship of Akseli Gallen-Kallela is?,Finland,False,True
449,"The languages spoken, written or signed by Akseli Gallen-Kallela is?",Finnish,False,True
450,The native language of Akseli Gallen-Kallela is?,Swedish,False,False
451,The country of citizenship of Akshay Kumar is?,"['Canada', 'India']",True,
452,The native language of Akshay Kumar is?,Punjabi,False,False
453,The country of citizenship of Akshay Venkatesh is?,India,False,False
454,The country of Akwa Ibom State is?,Nigeria,False,True
455,The official language of Al Ain is?,Arabic,False,True
456,The religion of Al Capone is?,Catholicism,False,True
457,The native language of Al Gore is?,English,False,True
458,The instrument of Al Green is?,guitar,False,False
459,The native language of Al Green is?,English,False,True
460,The sport played by Al Horford is?,basketball,False,True
461,The country of Al Hudaydah is?,Yemen,False,True
462,The country of Al Jazeera is?,Qatar,False,True
463,The language used in Al Jazeera is?,Arabic,False,True
464,The sport played by Al Simmons is?,baseball,False,True
465,The country of Al-Azhar University is?,Egypt,False,True
466,The language used in Al-Azhar University is?,Arabic,False,True
467,"The languages spoken, written or signed by Al-Biruni is?",Arabic,False,True
468,The religion of Al-Biruni is?,Islam,False,False
469,The religion of Al-Farazdaq is?,Islam,False,True
470,The language of Al-Gama'a is?,Arabic,False,True
471,The religion of Al-Hajjaj ibn Yusuf is?,Islam,False,True
472,The country of citizenship of Al-Hakim bi-Amr Allah is?,Egypt,False,True
473,"The languages spoken, written or signed by Al-Hakim bi-Amr Allah is?",Arabic,False,True
474,The religion of Al-Hakim bi-Amr Allah is?,Islam,False,False
475,The religion of Al-Khwarizmi is?,Islam,False,False
476,The religion of Al-Kindi is?,Islam,False,True
477,The religion of Al-Mansur is?,Islam,False,True
478,The native language of Al-Maʿarri is?,Arabic,False,True
479,The religion of Al-Maʿarri is?,Islam,False,False
480,The ethnic group of Al-Mu'izz li-Din Allah is?,Arabs,False,False
481,"The languages spoken, written or signed by Al-Mu'izz li-Din Allah is?",Arabic,False,True
482,The religion of Al-Mu'izz li-Din Allah is?,Islam,False,True
483,The ethnic group of Al-Mu'tadid is?,Arabs,False,False
484,The religion of Al-Mu'tadid is?,Islam,False,False
485,The ethnic group of Al-Mukhtar is?,Arabs,False,False
486,The religion of Al-Mustansir is?,Islam,False,True
487,The native language of Al-Mutanabbi is?,Arabic,False,True
488,The religion of Al-Mutanabbi is?,Islam,False,False
489,The country of citizenship of Al-Nasir Muhammad is?,Egypt,False,True
490,The religion of Al-Qibli Mosque is?,Islam,False,True
491,The religion of Al-Waleed bin Talal is?,Islam,False,True
492,The capital of Alabama is?,Montgomery,False,True
493,The official language of Alabama is?,English,False,True
494,Alabama shares a border with?,"['Florida', 'Georgia', 'Mississippi', 'Tennessee']",True,
495,The country of Alagoas is?,Brazil,False,True
496,The country of citizenship of Alain Chapel is?,France,False,True
497,The country of citizenship of Alain Delon is?,"['France', 'Switzerland']",True,
498,The native language of Alain Delon is?,French,False,True
499,The country of citizenship of Alain Ducasse is?,"['Monaco', 'France']",True,
500,The country of citizenship of Alain Poher is?,France,False,True
501,The native language of Alain Poher is?,French,False,True
502,The country for sport played by Alain Prost is?,France,False,True
503,The country of citizenship of Alain Prost is?,France,False,True
504,The native language of Alain Prost is?,French,False,True
505,The country of citizenship of Alain Robbe-Grillet is?,France,False,True
506,The native language of Alain Robbe-Grillet is?,French,False,True
